Grupos;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic;Binge;Binge;Binge;Binge;Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Median
Lachnospiraceae_NK4A136_group;0.030738579763768325;0.01563544033141788;0.031991174848317705;0.02124581864207576;0.018466007331074074;0.025816506301666892;0.044166666666666674;0.019973557465294174;0.048453669916851114;0.018684236404759563;0.055383663366336634;0.03600121267242686;0.013025387444973767;0.07746999601842898;0.03370559741657697;0.05573720629609916;0.039669091996411845;0.08503898635477583;0.036943744752308987;0.05273364660252107;0.03883732030487872
Oscillibacter;0.02760779849153266;0.021849525591340367;0.019911748483177054;0.025494982370490915;0.04135832353551421;0.016194606315218865;0.01824561403508772;0.048399282274057986;0.038942393970209974;0.028026354607139342;0.03424092409240924;0.08617553433378809;0.05831272990411867;0.08275979750867413;0.03135091496232509;0.028743061364154818;0.030997707565035386;0.03265107212475634;0.029013900550424482;0.0;0.03390223395339115
ASF356;0.02483278781841469;0.02853133769878391;0.016767788196359625;0.025947021065003163;0.03949097447956291;0.010977097167637893;0.013377192982456142;0.021673434696383036;0.03325955614045583;0.026747959484708424;0.02330858085808581;0.044641503713809316;0.0319001386962552;0.026278368693475912;0.04420075349838536;0.0;0.0;0.005035737491877843;0.011661535591006624;0.007235026478705154;0.024756137167084545
Eubacterium_siraeum_group;0.0;0.042897233729787515;0.02013237727523442;0.01934725612512431;0.0248288263365378;0.025138907711071964;0.013333333333333334;0.018840305977901595;0.004486450918226955;0.05074245255187333;0.0;0.044489919660451724;0.028161370077790508;0.042489050679711045;0.02213401506996771;0.0062352672800547486;0.0;0.015513320337881744;0.08862767049165034;0.056015514283583194;0.02396068986688401
Lachnospiraceae_UCG-006;0.01892699587306105;0.02084725377522384;0.021511307225592937;0.021155410903173313;0.016460336122830075;0.008876541536793604;0.006754385964912281;0.03484748323732175;0.025064305796494588;0.01396400826039925;0.0;0.010004547521600729;0.01567870710969065;0.01848586542289972;0.0;0.024712949585582848;0.0;0.0;0.013620673570295736;0.020064145595584396;0.020266270853056184
Incertae_Sedis;0.01216735448982496;0.012494988640919415;0.021897407611693325;0.03132628152969894;0.015284597828342211;0.03476080769751999;0.01324561403508772;0.008216073283596186;0.017287790871567867;0.020159307699872158;0.0;0.025162952857359405;0.018693843092323463;0.027529719583641428;0.020452099031216364;0.005931107900539883;0.0;0.01721897335932424;0.016326149827409275;0.014917580368464236;0.01649678972417112
uncultured;0.011740429770883734;0.025524522250434317;0.028019856591285162;0.013561160835367507;0.012863960163220141;0.010028459140804987;0.013771929824561406;0.01251298517329304;0.015253933121971647;0.016914150850624445;0.0;0.01455206912232833;0.04227220647651209;0.03338831693305273;0.02307588805166846;0.018933921374800395;0.011362503737665704;0.0;0.012594458438287154;0.00887596031923622;0.014380658040654574
A2;0.01679237227835492;0.013497260457035946;0.045339216767788196;0.01080372479884278;0.034649699149318765;0.0;0.010833333333333334;0.031069978279346492;0.0;0.021241026649621395;0.03290016501650165;0.006972866454448992;0.034854971959235356;0.03401399237813548;0.02717976318622175;0.009276861075203407;0.0;0.046215074723846665;0.07351432036570577;0.021705079436115462;0.013152954738733534
Clostridium_sensu_stricto_1;0.006475024903941938;0.0141654416677803;0.0;0.0;0.0;0.026426345033202334;0.03342105263157895;0.014779488148078194;0.001794580367290782;0.0;0.0;0.0;0.007598142676234697;0.0;0.001547362755651238;0.009352900920082122;0.02332303398784013;0.0;0.08386976397051964;0.05243529499515178;0.01219649656322995
Ruminococcus;0.020207770029884733;0.0185086195376186;0.021290678433535572;0.02382243920079559;0.021232450376927867;0.00860550210055563;0.0;0.026206440645953347;0.0;0.0;0.0;0.010610883735031076;0.0;0.010465843808657073;0.01769375672766416;0.0;0.0;0.03110786224821313;0.01959137979289113;0.0;0.011680740873776343
