Group;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic;Binge;Binge;Binge;Binge;Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;;Median
Lachnospiraceae_NK4A136_group;0.02076153652181222;0.028938302536799246;0.0;0.032628289869006136;0.040919666073628035;0.047655435915248345;0.035700119000396664;0.0;0.01586699538529616;0.027892150351972372;0.0;0.0;0.022115185415371864;0.023687025622739544;0.06888734505832021;0.044845804152844324;0.062002796393616506;0.054805304911282035;0.04531707997952822;0.05445061543080156;;0.03883732030487872
Oscillibacter;0.01025468605530806;0.02455371124334482;0.021957141349097434;0.011236630212714819;0.012248528807992338;0.04383466481417159;0.015536162898320773;0.0170427496905646;0.025222833301725773;0.015141453048213573;0.046073742205000906;0.024226877583012684;0.024652993577791587;0.024145484183179668;0.029214962155837503;0.028197567268706227;0.022033653150764186;0.015624053775812998;0.0;0.005178625037526269;;0.03390223395339115
ASF356;0.011347398503824492;0.03163169433134983;0.0458144199303283;0.01772623482754477;0.01231695634323252;0.0136158388329281;0.00971836572788576;0.0;0.02073455970668184;0.0;0.017799842586426105;0.03263502921476415;0.03356121814791796;0.0;0.027277048520969682;0.0;0.0;0.0182280627384485;0.0052109989298841485;0.004878414890423296;;0.024756137167084545
Eubacterium_siraeum_group;0.029839455324871814;0.0;0.024173968119919773;0.0;0.0;0.0;0.06346687822292742;0.05407978672760164;0.0;0.02961880727852304;0.04262275231579584;0.039546814878153064;0.007613424487259167;0.04233100708063777;0.017112143039964896;0.009706352131711511;0.03360493708114363;0.025918972930418463;0.026845949844135297;0.012683878715100572;;0.02396068986688401
Lachnospiraceae_UCG-006;0.020425317306884086;0.0;0.0;0.04062011777430598;0.0;0.0;0.03880735158006082;0.0;0.0;0.0;0.018889628867227705;0.017315091919623774;0.02605137766728817;0.018949620498191638;0.0280449010932758;0.0938690256788303;0.0;0.022164355356385883;0.05513422974922068;0.024204443110177123;;0.020266270853056184
Incertae_Sedis;0.0;0.01904165361728782;0.022801646785601183;0.007330849657493091;0.008485014369782403;0.03223341437999305;0.0;0.01856612396458155;0.008028320374233516;0.018196307610572452;0.03233032633044741;0.024583155194527577;0.012637248808783924;0.02562273954459783;0.006069691762038831;0.011979358643568003;0.006990984041270912;0.013867861684733243;0.011910854696878054;0.006304413089162414;;0.01649678972417112
uncultured;0.0;0.007391168180394613;0.016467856011823077;0.014781877178223773;0.0;0.0;0.0;0.00999714367323622;0.017194512927492255;0.0;0.0;0.015818725951261225;0.010306608659622954;0.013753756813203608;0.006435335844089363;0.0;0.0;0.011263852722097742;0.0;0.0;;0.014380658040654574
A2;0.0;0.05969307860945819;0.0;0.02746064174978969;0.007663883946900233;0.0;0.0;0.0;0.0;0.0;0.060362051219955186;0.0;0.0;0.04482705924303398;0.0;0.0;0.005737428282146473;0.01205111124568522;0.0;0.00769288501951366;;0.013152954738733534
Clostridium_sensu_stricto_1;0.0;0.015721891637958035;0.0;0.026619396707126552;0.04208293417271111;0.08044459881903439;0.06617744281369828;0.0;0.05101460269296416;0.14450790277593306;0.0466186353454017;0.045817300840815166;0.0;0.0;0.0;0.03065487160584838;0.033894219179403114;0.0;0.044991392546410464;0.01065746022215551;;0.01219649656322995
Ruminococcus;0.023031016222577118;0.0;0.043808719518631904;0.023374594399711575;0.012864376625153965;0.0;0.02009784477059368;0.053413310482719224;0.0;0.0;0.0;0.0;0.0;0.030156385308950134;0.030421587626604258;0.028996191178277425;0.01880333638686659;0.011687761157875615;0.007769971618666543;0.006266886820774542;;0.011680740873776343
uncultured;0.0;0.0;0.0;0.022533349357048437;0.00205282605720542;0.0;0.024990083300277667;0.0;0.033567229281244074;0.0;0.0;0.017600114008835686;0.020198881292728402;0.0;0.004826501883067022;0.0;0.0;0.01205111124568522;0.011212953054482855;0.0;;0.011439516338939497
Clostridia_vadinBB60_group;0.0067243842985626615;0.00970873786407767;0.005278158978148422;0.013459920682610265;0.012864376625153965;0.008266759291420633;0.0007933359777865926;0.004760544606302962;0.012074088121878754;0.010758400850046486;0.00587273717987528;0.006626763574176999;0.004143360265175057;0.0;0.012395334381513034;0.010750706474996928;0.003085675714767851;0.0062375098407315465;0.0;0.0;;0.010132336050376063
UCG-009;0.004707069008993863;0.004885687441277795;0.006544917132904044;0.008472539358250212;0.008621869440262763;0.015352552969781174;0.010115033716779055;0.0;0.009419053037486566;0.0;0.009142096022280074;0.007838107453327635;0.0;0.006469359686210585;0.004424293392811436;0.0;0.0;0.0;0.0;0.0;;0.01011350469383136
Gastranaerophilales;0.0047911238127258966;0.0;0.00876174390372638;0.0031847133757961785;0.0071848912002189695;0.013337964571031608;0.011371149014941162;0.015328953632295536;0.009482268158543524;0.0;0.004722407216806926;0.007838107453327635;0.008597472550238244;0.004228006724058887;0.00687410874255;0.0;0.004242804107805795;0.010900502634288139;0.005862373796119667;0.003152206544581207;;0.009985209953936145
Ruminococcaceae;0.0;0.007077983088005011;0.0;0.008412450426631416;0.0;0.007711010767627648;0.0;0.0;0.012263733485049624;0.0;0.0;0.013467293715262932;0.014346384918168633;0.009372930568998015;0.006398771435884309;0.0;0.0;0.012656694725367894;0.0;0.0;;0.008376691076334219
Butyricicoccus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003666477021303496;0.0;0.01198764908881758;0.0;0.012948000828672054;0.015485711374866283;0.01005521225638963;0.0017201130359995082;0.002458897835205631;0.0;0.002791606569580794;0.0;;0.00792450588937368
UCG-010;0.0;0.011775759473849045;0.0;0.007270760725874295;0.0071848912002189695;0.0;0.0;0.00371322479291631;0.0018964536317087046;0.012352238013016336;0.02603378337470485;0.007339318797206783;0.010979904702713901;0.0071315776068463154;0.004168342535376064;0.004853176065855756;0.0026999662504218697;0.0022406588748258953;0.00423393663053087;0.004165415791053738;;0.007520700637232478
Mucispirillum;0.0;0.04622611963670529;0.0;0.0;0.0;0.0;0.0;0.0;0.01137872179025223;0.0;0.05703214869528364;0.045318512184694314;0.0;0.025928378584891245;0.01692932099893963;0.029241921611991642;0.021599730003374958;0.0;0.007304703857069744;0.0;;0.007494129507012321
UBA1819;0.0;0.0;0.01562335057531933;0.005948804230260786;0.0;0.0;0.007073912468597118;0.0;0.0;0.0;0.005448931404007991;0.009191962377084225;0.007250880464056349;0.0063674800061127804;0.008007605396906651;0.004300282589998771;0.006701701943011427;0.0018167504390480232;0.00930535523193598;0.0030771540078054637;;0.006601661698004716
